Nama,Rating,Ulasan,Sentimen,Preprocessed,Positive_Count,Negative_Count
F***a,5,"Modelnya Sesuai Deskripsi, Bahannya Bagus , Bahan Dalamnya Emboss. Muat Laptop, Tablet, Dan Lain Lain. 
Cocok Buat Traveling, Kuliah, Dan Kerja",Positif,s s      s    s                s                      ss,0,0
R***o,5,"Barang sampai dengan kondisi sempurna, dan fungsional. Waktu pengiriman juga cepat sekali. 👍👍",Positif,s                     s  s                 s       w                              s            s      s,0,0
Chandra,5,"Ternyata ukuran nya lebih gde dr yg diperkirakan. kualitas mantap, mudah²an awet",Positif,s                   w,0,0
Bagus,5,Barang 2 hati sampai coy. Aman tanpa kerusakan. Desain minimalis saya suka. No tipu-tipu. Semoga awet,Positif,s                          s        s            s s    s                   s          w,0,0
Lita,5,"model bagus,kokoh,cuma agak kebesaran...pengiriman cepat",Positif,s                         s,0,0
Vairul,5,"lumayan bagus, belum dipakai. 
lapisan luar nya bisa menahan air, untuk penggunaan kuliah sepertinya cukup.",Positif,s                      s              s                                       s,0,0
M***a,5,"Sesuka itu suamiku sama tas ini, besar bgt ini tasnya..
Mana cepet banget lagi sampenya..
Harga sgini utk tas sebagus ini, itu wort it 
Sukses terus min, terima kasih 🙏�...",Positif,s s        s       s      s        s                s                             s                   s           s s     s          w        s  s s     s               s,0,0
Helmi,5,"barangnya bagus sesuai dengan deskripsi yang diberikan, modelnya juga keren, semoga kuat dan awet",Positif,s s s                s    s                                          s                   w,0,0
Rainer,5,"Tasnya bagus desain simple tapi elegan, warna ga abal2, bahannya ga keliatan murah, pengiriman juga cepat. Buat harga segini bagus bgt, moga awet",Positif,s        s   s    s                      w                                                                                         s          s                  w,0,0
Z***p,5,paket sudah sampai dengan selamat. terima kasih banyak. thank you. barang baguss,Positif,s     s                s                 s                                 ss,0,0
taryoto,5,ukuran pas...bahannya cakep..warna pas apa yg di pesan,Positif,s                   w       s             s,0,0
Wahyu,5,"model keren
harganya pas dikantong
kualitas mantab",Positif,s                  s,0,0
V***n,5,"material bagus, jahitan cukup oke, serasa premium! recommended!✨",Positif,s                      s   s,0,0
yudha,5,mantap keren tas nya saya kira gak terlalu besar ternyata besar jg.tapi gpp lah..terima kasih,Positif,s     s                          s              s                             s,0,0
A***a,5,"Material ok, walaupun jahitannya agak meragukan. Tapi jahitan yang agak meragukan ini sepertinya aman saja asal tidak kelebihan muatan.

Laptop saya 15.6"", Ideapad Ga...",Positif,w                                                                              s               s     s                                   s,0,0
F***x,5,Barang sampai sesuai dgn pesanan..semoga bs awet..,Positif,s      s s          s      s          s  w,0,0
A***s,5,"Modelnya keren, bahan bagus dan sesuai pesanan. Pengiriman sangat cepat pesan kemarin 1 hari dah sampai rumah. Recommended seller",Positif,s     s s      s                 s                 s                      s                         s,0,0
Edwin,5,Maaaaaanntaaaaaappppp seeekaaaaliiiii baaaaaraaaaaannnngggnyaaaaa,Positif,s,0,0
Annang,5,"Modelnya keren kekinian, kantung nya banyak dan lega.",Positif,,0,0
Bambang,5,"sesuainpesanan, bahan bagus dan kualitas jahitan juga bagus",Positif,s s      s                s            s                     s,0,0
Dwi,5,"Kualitas produk oke dgn harga segini. Kompartemen 3 tapi ada banyak slot. Yg paling penting, proteksi buat laptop tebel, jadi bagus buat ngeredam benturan utk laptop nya.",Positif,s                          s                                     s                              s                              s,0,0
Revansyah,5,"Tas kualitas mantap punya, bahannya berkualitas, empuk di sentuhan, jahitannya rapih, ukurannya lumayan besar jadi bisa juga dibawa untuk travelling, juga udah dites untu...",Positif,s        s                                  s           s                                               s          s              w                                     s,0,0
